asset_id	source_url	author	license	attribution_required	derivative_terms	local_path	notes
police_bilingual_decal	assets/police/PROVENANCE.md	Chatnoir01	All rights reserved (project-original)	false	Project-original placeholder; redistribution governed by repository owner	assets/police/decals/police_bilingual_decal.png	Prototype bilingual POLICE/POLITIE marking; not an official logo/livery asset; replace/refine from lawful references before realism-complete.
police_blue_stripes	assets/police/PROVENANCE.md	Chatnoir01	All rights reserved (project-original)	false	Project-original placeholder; redistribution governed by repository owner	assets/police/decals/police_blue_stripes.png	Prototype stripe texture; not copied from a third-party game.
police_rear_chevrons	assets/police/PROVENANCE.md	Chatnoir01	All rights reserved (project-original)	false	Project-original placeholder; redistribution governed by repository owner	assets/police/decals/police_rear_chevrons.png	Prototype rear-safety pattern; must be validated against lawful Belgian police references before realism-complete.
bourse_stone_courses_shader	data/qa/bourse_runtime_material_style.json	Chatnoir01	All rights reserved (project-original)	false	Project-original shader; redistribution governed by repository owner	assets/materials/bourse_stone_courses.gdshader	Procedural presentation-only horizontal stone-course shading for the authoritative Bourse UrbIS hero; no third-party image bytes or geometry embedded.
thandi_source_status	assets/characters/player/thandi/README.md	Chatnoir01	All rights reserved (project-original metadata)	false	Project-original provenance/status metadata; redistribution governed by repository owner	assets/characters/player/thandi/source_status.json	Machine-readable fail-closed status for the selected CC BY source package; contains source attribution metadata but no third-party binary or texture bytes.
kaykit_rogue_player	assets/characters/player/kaykit_rogue/PROVENANCE.md	Kay Lousberg	CC0-1.0	false	CC0-1.0; unrestricted reuse permitted	assets/characters/player_character.glb	Pinned KayKit Rogue GLB used only as a real authored fallback while preferred Thandi source binaries remain unavailable; never represented as Thandi.
civ1_runtime_source_status	assets/characters/civilians/civ1/PROVENANCE.md	Chatnoir01	All rights reserved (project-original metadata)	false	Project-original provenance/status metadata; referenced third-party source facts remain governed by their CC0-1.0 terms	assets/characters/civilians/civ1/source_status.json	Fail-closed CIV-1 packaging status tied to owner-approved PR #1006; contains no third-party geometry, textures or animation bytes.
mmc_generic_sedan_lod_meta	https://sketchfab.com/3d-models/generic-sedan-car-58c33766470d46e7b2aed542650494e5	MMC Works	CC BY 4.0	true	Derived low-detail exterior representation permitted under CC BY 4.0 with attribution; source GLB not redistributed	assets/vehicles/mmc_generic_sedan/authored_lod/meta.json	Machine-readable provenance and derivation record for source-derived WebGL police sedan LOD.
mmc_generic_sedan_lod_payload_00	https://sketchfab.com/3d-models/generic-sedan-car-58c33766470d46e7b2aed542650494e5	MMC Works	CC BY 4.0	true	Derived low-detail exterior representation permitted under CC BY 4.0 with attribution; source GLB not redistributed	assets/vehicles/mmc_generic_sedan/authored_lod/part_00.txt	Part 1/3 of deterministic quantized compressed source-derived exterior geometry; textures, interior, mechanics and source wheels excluded.
mmc_generic_sedan_lod_payload_01	https://sketchfab.com/3d-models/generic-sedan-car-58c33766470d46e7b2aed542650494e5	MMC Works	CC BY 4.0	true	Derived low-detail exterior representation permitted under CC BY 4.0 with attribution; source GLB not redistributed	assets/vehicles/mmc_generic_sedan/authored_lod/part_01.txt	Part 2/3 of deterministic quantized compressed source-derived exterior geometry; textures, interior, mechanics and source wheels excluded.
