asset_id	class	source_url	author	license	triangles	status
renderpeople_eric_rigged_001	character	https://sketchfab.com/3d-models/eric-rigged-001-rigged-3d-business-man-a46bc9f67aaa415bb4f3241eef900e7f	Renderpeople	CC Attribution	20500	SHORTLIST
renderpeople_carla_rigged_001	character	https://sketchfab.com/3d-models/carla-rigged-001-rigged-3d-business-women-acf520f450d14dd799f98a6fede3edf5	Renderpeople	CC Attribution	20000	SHORTLIST
renderpeople_claudia_rigged_002	character	https://sketchfab.com/3d-models/claudia-rigged-002-3d-rigged-business-women-c659bd0accab47c6bbe390cf822a2b92	Renderpeople	CC Attribution	21500	SHORTLIST
renderpeople_nathan_animated_003	animation_reference	https://sketchfab.com/3d-models/nathan-animated-003-walking-3d-man-143a2b1ea5eb4385ae90a73657aca3bc	Renderpeople	CC Attribution	21500	SHORTLIST
renderpeople_sophia_animated_003	animation_reference	https://sketchfab.com/3d-models/sophia-animated-003-animated-3d-woman-dc448c3be0e74f96a55fb475a13433cf	Renderpeople	CC Attribution		SHORTLIST
joe_realistic_human	character	https://sketchfab.com/3d-models/joe-realistic-human-3d-model-2a108401fe5547409a3ad666b9b7d6b3	Arjun P Krishna	CC Attribution	53400	SHORTLIST_NEEDS_RIG
mmc_generic_sedan_car	vehicle	https://sketchfab.com/3d-models/generic-sedan-car-58c33766470d46e7b2aed542650494e5	MMC Works	CC Attribution	113200	SHORTLIST
compact_modern_hatchback_valentine_crut	vehicle	https://sketchfab.com/3d-models/car-compact-modern-hatchback-3d-model-4a1d6509ee3142b7961496c3782fe8d0	Valentine_crut	CC Attribution	109800	SHORTLIST_PROVENANCE_GATE
milano_95_generic_european_compact	vehicle	https://sketchfab.com/3d-models/milano-95-low-poly-model-122a22d210234596ad23623588d0d166	Daniel Zhabotinsky	CC Attribution	18100	SHORTLIST
mag80_simple_european_compact_van	vehicle	https://sketchfab.com/3d-models/simple-european-compact-van-794dd0d59d7d4eae9a15a87802546619	MaG80	CC Attribution	11400	SHORTLIST_WITH_BRAND_LIKENESS_REVIEW
adobe_mixamo	animation_source	https://helpx.adobe.com/creative-cloud/faq/mixamo-faq.html	Adobe	Adobe Mixamo terms		APPROVED_SOURCE_CLASS_WITH_TERMS_REVIEW
poly_haven	material_source	https://polyhaven.com/license	Poly Haven	CC0		APPROVED_SOURCE_CLASS
makehuman_checked_packs	character_material_source	https://static.makehumancommunity.org/assets/assetpacks/index.html	MakeHuman Community	CC0/CC-BY per pack		APPROVED_SOURCE_CLASS_PER_PACK
